384899,TOUR_45,EDUAUTH,00:F6:63:E6:3A:A3,-82,6,2025-11-17 12:06:55
384909,TOUR_45,eduspot,00:F6:63:E6:2E:F1,-83,6,2025-11-17 12:06:55
384910,TOUR_45,eduroam,00:F6:63:DD:4B:C4,-83,11,2025-11-17 12:06:55
384921,TOUR_45,CONGRES,00:F6:63:E6:2E:F2,-84,6,2025-11-17 12:06:55
384964,TOUR_45,eduspot,00:F6:63:CE:C6:51,-91,6,2025-11-17 12:06:55
421990,TOUR_46,eduspot,00:F6:63:CE:C6:51,-66,6,2025-11-17 12:07:32
421990,TOUR_46,eduroam,00:F6:63:CE:C6:54,-67,6,2025-11-17 12:07:32
421990,TOUR_46,CONGRES,00:F6:63:CE:C6:52,-69,6,2025-11-17 12:07:32
422012,TOUR_46,CONGRES,00:F6:63:C7:2A:F2,-74,1,2025-11-17 12:07:32
422023,TOUR_46,eduroam,00:F6:63:E6:2F:C4,-74,6,2025-11-17 12:07:32
422023,TOUR_46,eduspot,00:F6:63:C7:2A:F1,-75,1,2025-11-17 12:07:32
422023,TOUR_46,CONGRES,00:F6:63:E6:2F:C2,-75,6,2025-11-17 12:07:32
422055,TOUR_46,CONGRES,00:F6:63:DD:3D:C2,-78,1,2025-11-17 12:07:32
422067,TOUR_46,eduspot,00:F6:63:E6:2F:C1,-78,6,2025-11-17 12:07:32
422078,TOUR_46,eduroam,00:F6:63:DD:3C:F4,-79,11,2025-11-17 12:07:32
422088,TOUR_46,CONGRES,00:F6:63:C7:2D:C2,-80,11,2025-11-17 12:07:32
422088,TOUR_46,eduspot,00:F6:63:DD:3C:F1,-80,11,2025-11-17 12:07:32
422099,TOUR_46,eduspot,00:F6:63:B1:CD:91,-80,11,2025-11-17 12:07:32
422099,TOUR_46,eduroam,00:F6:63:C7:2D:C4,-81,11,2025-11-17 12:07:32
422099,TOUR_46,eduspot,00:F6:63:C7:2D:C1,-81,11,2025-11-17 12:07:32
422110,TOUR_46,eduspot,00:F6:63:E6:2E:D1,-82,6,2025-11-17 12:07:32
422121,TOUR_46,eduroam,00:F6:63:E6:2E:D4,-85,6,2025-11-17 12:07:32
422121,TOUR_46,eduroam,00:F6:63:DD:3D:F4,-85,11,2025-11-17 12:07:32
422132,TOUR_46,ISIR,E8:65:D4:72:AC:69,-86,1,2025-11-17 12:07:32
422142,TOUR_46,ISIR,E8:65:D4:72:A0:E1,-86,11,2025-11-17 12:07:32
422143,TOUR_46,eduspot,00:F6:63:E6:3A:A0,-87,6,2025-11-17 12:07:32
422164,TOUR_46,eduroam,D8:C7:C8:A8:B9:01,-88,11,2025-11-17 12:07:32
422175,TOUR_46,eduspot,00:F6:63:DD:3D:F1,-91,11,2025-11-17 12:07:32
422175,TOUR_46,eduspot,D8:C7:C8:A8:B9:02,-91,11,2025-11-17 12:07:32
532279,TOUR_65,eduroam,00:F6:63:AC:D6:34,-54,6,2025-11-17 12:09:22
532279,TOUR_65,CONGRES,00:F6:63:AC:D6:32,-54,6,2025-11-17 12:09:22
532289,TOUR_65,eduspot,00:F6:63:AC:D6:31,-54,6,2025-11-17 12:09:22
532290,TOUR_65,ISIR,E8:65:D4:72:A0:E1,-59,11,2025-11-17 12:09:22
532300,TOUR_65,ISIR,E8:65:D4:72:AC:59,-64,6,2025-11-17 12:09:22
532311,TOUR_65,eduroam,00:F6:63:DD:3C:F4,-68,11,2025-11-17 12:09:22
532311,TOUR_65,CONGRES,00:F6:63:DD:3C:F2,-69,11,2025-11-17 12:09:22
532312,TOUR_65,eduspot,00:F6:63:DD:3C:F1,-69,11,2025-11-17 12:09:22
